name,price,img_file,url,recommend_name1,recommend_name2,recommend_price1,recommend_price2,recommend_img_file1,recommend_img_file2,recommend_url1,recommend_url2
CK ONE TANGA BIKINI,HKD 392.00,image/CK ONE TANGA BIKINI.png,https://www.calvinklein.com/hk/en/ck-one-tanga-bikini-KW01435.html?dwvar_KW01435_color=BLACK%20CUT%20OUT%20PRINT,SheIn Women's 2 Pieces Leopard Print Strap Cutout Bra Bottom Bikini Swimwear Set,OMKAGI Women's 2 Pieces Bandeau Bikini Swimsuits Off Shoulder High Waist Bathing Suit High Cut,HKD 149.86 - HKD 165.65,HKD 118.30 - HKD 244.56,image/recommendations/CK ONE TANGA BIKINI26.png,image/recommendations/CK ONE TANGA BIKINI9.png,https://www.amazon.com/SheIn-Womens-Pieces-Leopard-Swimwear/dp/B081TWVGBF/ref=sr_1_26?dchild=1&keywords=black+cutout+print+bikini&qid=1625185313&s=fashion-womens-intl-ship&sr=1-26,https://www.amazon.com/OMKAGI-Bandeau-Swimsuits-Shoulder-Bathing/dp/B07G23V2HW/ref=sr_1_9?dchild=1&keywords=black+cutout+print+bikini&qid=1625185313&s=fashion-womens-intl-ship&sr=1-9
CK ONE BRALETTE,HKD 392.00,image/CK ONE BRALETTE.png,https://www.calvinklein.com/hk/en/ck-one-bralette-KW01434.html?dwvar_KW01434_color=BLACK%20CUT%20OUT%20PRINT,SheIn Women's Sexy Straps Sleeveless Cutout Crisscross Zipper Crop Cami Tank Top,Amazon Brand - Mae Women's High-Neck Bralette with Cutouts (for A-C cups),HKD 157.75,HKD 126.27,image/recommendations/CK ONE BRALETTE40.png,image/recommendations/CK ONE BRALETTE28.png,https://www.amazon.com/SheIn-Womens-Straps-Sleeveless-Crisscross/dp/B07PYW8D98/ref=sr_1_43?dchild=1&keywords=black+cutout+print+bralette&qid=1625185432&s=fashion-womens-intl-ship&sr=1-43,https://www.amazon.com/Amazon-Brand-Hi-Neck-Bralette-C/dp/B01N636WGD/ref=sr_1_30?dchild=1&keywords=black+cutout+print+bralette&qid=1625185432&s=fashion-womens-intl-ship&sr=1-30
ACTIVE ICON WOVEN SHORTS,HKD 413.00,image/ACTIVE ICON WOVEN SHORTS.png,https://www.calvinklein.com/hk/en/active-icon-woven-shorts-4WS1S894.html?dwvar_4WS1S894_color=RASPBERRY%20BLUSH,Conceited Premium Ultra Soft Harem Shorts - Pockets - 40 Trending Prints,Vibrant Women's Juniors Denim High Waist Cutoff Shorts,HKD 117.98 - HKD 149.55,HKD 157.75 - HKD 315.59,image/recommendations/ACTIVE ICON WOVEN SHORTS10.png,image/recommendations/ACTIVE ICON WOVEN SHORTS13.png,https://www.amazon.com/Premium-Ultra-Harem-Shorts-Pockets/dp/B06VW8ZGFC/ref=sr_1_11?dchild=1&keywords=RASPBERRY+BLUSH+SHORTS&qid=1625185567&s=fashion-womens-intl-ship&sr=1-11,https://www.amazon.com/Vibrant-Womens-Juniors-Cutoff-Shorts/dp/B07SSHKCQK/ref=sr_1_15?dchild=1&keywords=RASPBERRY+BLUSH+SHORTS&qid=1625185567&s=fashion-womens-intl-ship&sr=1-15
ACTIVE ICON FULL LENGTH ALL-OVER PRINT LEGGINGS,HKD 483.00,image/ACTIVE ICON FULL LENGTH ALL-OVER PRINT LEGGINGS.png,https://www.calvinklein.com/hk/en/active-icon-full-length-all-over-print-leggings-4WS1L650.html?dwvar_4WS1L650_color=CK%20BLK%20CK%20AOP,Calvin Klein Women's Premium Performance High Waist Moisture Wicking Legging,Hard Tail Women's High Rise Ankle Performance Legging Style SUP61,HKD 231.70 - HKD 469.55,HKD 678.68,image/recommendations/ACTIVE ICON FULL LENGTH ALL-OVER PRINT LEGGINGS4.png,image/recommendations/ACTIVE ICON FULL LENGTH ALL-OVER PRINT LEGGINGS29.png,https://www.amazon.com/Calvin-Klein-Performance-Fitness-Piecing/dp/B07GFTDPKS/ref=sr_1_4?dchild=1&keywords=CK+BLK+CK+AOP+LEGGINGS&qid=1625185697&s=fashion-womens-intl-ship&sr=1-4,https://www.amazon.com/Hard-Tail-Womens-Performance-Legging/dp/B0935FLDR4/ref=sr_1_30?dchild=1&keywords=CK+BLK+CK+AOP+LEGGINGS&qid=1625185697&s=fashion-womens-intl-ship&sr=1-30
LACE LIGHTWEAR JACKET,HKD 903.00,image/LACE LIGHTWEAR JACKET.png,https://www.calvinklein.com/hk/en/lace-lightwear-jacket-4WT1O553.html?dwvar_4WT1O553_color=BRIGHT%20WHITE,Hollywood Star Fashion Womens Basic Button Down Denim Jean Jacket,Riders by Lee Indigo Women's Plus Size Easy Care Â¾ Sleeve Woven Shirt,HKD 125.48 - HKD 275.81,HKD 144.10 - HKD 183.24,image/recommendations/LACE LIGHTWEAR JACKET4.png,image/recommendations/LACE LIGHTWEAR JACKET28.png,https://www.amazon.com/Hollywood-Star-Fashion-Womens-Button/dp/B06XVPXSVR/ref=sr_1_4?dchild=1&keywords=BRIGHT+WHITE+JACKET&qid=1625185779&s=fashion-womens-intl-ship&sr=1-4,https://www.amazon.com/Riders-Lee-Indigo-Womens-Plus-Size/dp/B012P2JUQA/ref=sr_1_28?dchild=1&keywords=BRIGHT+WHITE+JACKET&qid=1625185779&s=fashion-womens-intl-ship&sr=1-28
CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD,"HKD 1,603.00",image/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-padded-jacket-with-hood-4WS1O524.html?dwvar_4WS1O524_color=CK%20BLACK,Columbia Womens Hexbreaker Long Down Jacket,Calvin Klein Women's Mid-Weight Diamond Quilted Jacket (Standard and Plus),"HKD 1,177.90 - HKD 2,288.57","HKD 599.37 - HKD 1,104.75",image/recommendations/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD8.png,image/recommendations/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD7.png,https://www.amazon.com/Columbia-Womens-Hexbreaker-Jacket-Medium/dp/B00GSDD8TI/ref=sr_1_8?dchild=1&keywords=CK+BLACK+HOOD&qid=1625185904&s=fashion-womens-intl-ship&sr=1-8,https://www.amazon.com/Calvin-Klein-Classic-Diamond-Pattern/dp/B014YUYF66/ref=sr_1_7?dchild=1&keywords=CK+BLACK+HOOD&qid=1625185904&s=fashion-womens-intl-ship&sr=1-7
OMBRE LOGO SHORT SLEEVE TEE,HKD 343.00,image/OMBRE LOGO SHORT SLEEVE TEE.png,https://www.calvinklein.com/hk/en/ombre-logo-short-sleeve-tee-4WS1K130.html?dwvar_4WS1K130_color=BRIGHT%20WHITE,Nautica Women's Easy Comfort Supersoft 100% Cotton Classic Logo T-Shirt,Nautica Women's Boatneck 3/4 Sleeve 100% Cotton Shirt,HKD 43.80 - HKD 157.75,HKD 236.67,image/recommendations/OMBRE LOGO SHORT SLEEVE TEE14.png,image/recommendations/OMBRE LOGO SHORT SLEEVE TEE9.png,https://www.amazon.com/Nautica-Comfort-Supersoft-Classic-T-Shirt/dp/B07NW2RP1N/ref=sr_1_14?dchild=1&keywords=BRIGHT+WHITE+TEE&qid=1625186041&s=fashion-womens-intl-ship&sr=1-14,https://www.amazon.com/Nautica-Womens-Solids-Stripes-Boatneck/dp/B07NW1TZX4/ref=sr_1_9?dchild=1&keywords=BRIGHT+WHITE+TEE&qid=1625186041&s=fashion-womens-intl-ship&sr=1-9
CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD,"HKD 1,603.00",image/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-padded-jacket-with-hood-4WS1O524.html?dwvar_4WS1O524_color=CHINESE%20RED,"Bulotus Women's Long Sleeve Cowl Neck Casual Tunic Tops with Pockets"", 'GK-O Anime Danganronpa Monokuma Warm Thicken Hoodie Jacket Cosplay Costume'",GK-O Anime Danganronpa Monokuma Warm Thicken Hoodie Jacket Cosplay Costume,HKD 205.10 - HKD 236.67,HKD 220.89,image/recommendations/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD7.png,image/recommendations/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD39.png,https://www.amazon.com/Bulotus-Womens-Sleeve-Pockets-X-Large/dp/B07HF51H1Q/ref=sr_1_7?dchild=1&keywords=CHINESE+RED+HOOD&qid=1625186165&s=fashion-womens-intl-ship&sr=1-7,https://www.amazon.com/GK-Danganronpa-Monokuma-Cosplay-Costume/dp/B076GYSCSW/ref=sr_1_40?dchild=1&keywords=CHINESE+RED+HOOD&qid=1625186165&s=fashion-womens-intl-ship&sr=1-40
REFLECTIVE COLOR BLOCK WINDBREAKER,HKD 763.00,image/REFLECTIVE COLOR BLOCK WINDBREAKER.png,https://www.calvinklein.com/hk/en/reflective-color-block-windbreaker-4WS1O565.html?dwvar_4WS1O565_color=BRIGHT%20WHITE,"Columbia Women's Flash Forward Windbreaker, Water & Stain Resistant",Columbia Women's Switchback III Adjustable Waterproof Rain Jacket,HKD 298.30 - HKD 705.67,HKD 250.64 - HKD 875.42,image/recommendations/REFLECTIVE COLOR BLOCK WINDBREAKER39.png,image/recommendations/REFLECTIVE COLOR BLOCK WINDBREAKER4.png,https://www.amazon.com/Columbia-Forward-Windbreaker-Resistant-X-Large/dp/B07R5W1Z1P/ref=sr_1_41?dchild=1&keywords=BRIGHT+WHITE+WINDBREAKER&qid=1625186302&s=fashion-womens-intl-ship&sr=1-41,https://www.amazon.com/Columbia-Womens-Switchback-Adjustable-Waterproof/dp/B072M3CL96/ref=sr_1_4?dchild=1&keywords=BRIGHT+WHITE+WINDBREAKER&qid=1625186302&s=fashion-womens-intl-ship&sr=1-4
LACE PRINT SPORTS BRA,HKD 552.00,image/LACE PRINT SPORTS BRA.png,https://www.calvinklein.com/hk/en/lace-print-sports-bra-4WT1K187.html?dwvar_4WT1K187_color=PINK%20SATIN,RSLOVE Women Lingerie Sets with Garter Belt 3 Piece Lace Teddy Babydoll Bodysuit,Avidlove Women Lingerie V Neck Nightwear Satin Sleepwear Lace Chemise Mini Teddy,HKD 133.37 - HKD 161.70,HKD 102.51 - HKD 126.19,image/recommendations/LACE PRINT SPORTS BRA30.png,image/recommendations/LACE PRINT SPORTS BRA35.png,https://www.amazon.com/RSLOVE-Lingerie-Garter-Babydoll-Bodysuit/dp/B083DQJS71/ref=sr_1_30?dchild=1&keywords=PINK+SATIN+BRA&qid=1625186431&s=fashion-womens-intl-ship&sr=1-30,https://www.amazon.com/Avidlove-Nightwear-Lingerie-Sleepwear-Chemise/dp/B06XG81R13/ref=sr_1_35?dchild=1&keywords=PINK+SATIN+BRA&qid=1625186431&s=fashion-womens-intl-ship&sr=1-35
LEAF PRINT LIGHTWEIGHT JACKET,HKD 973.00,image/LEAF PRINT LIGHTWEIGHT JACKET.png,https://www.calvinklein.com/hk/en/leaf-print-lightweight-jacket-4WS1O562.html?dwvar_4WS1O562_color=BRT%20WHT%2FORANGE,Columbia Women's Flash Forward Printed Windbreaker,Lrady Women's 2 Piece Tracksuits Set-Hoodie Sweatshirt Jacket and Yoga Legging Workout Outfits Jogging Sweatsuits Set,HKD 247.64 - HKD 875.42,HKD 284.02 - HKD 315.59,image/recommendations/LEAF PRINT LIGHTWEIGHT JACKET11.png,image/recommendations/LEAF PRINT LIGHTWEIGHT JACKET10.png,https://www.amazon.com/Columbia-Womens-Forward-Printed-Windbreaker/dp/B07QZ4VM7P/ref=sr_1_1?dchild=1&keywords=BRT+WHT+ORANGE+JACKET&qid=1625186561&s=fashion-womens-intl-ship&sr=1-1-spell,https://www.amazon.com/Lrady-Tracksuits-Set-Hoodie-Sweatshirt-Sweatsuits/dp/B08JH2SQ16/ref=sr_1_5?dchild=1&keywords=BRT+WHT+ORANGE+JACKET&qid=1625186561&s=fashion-womens-intl-ship&sr=1-5-spell
LACE FITSENSE MESH HEM LEGGINGS,HKD 553.00,image/LACE FITSENSE MESH HEM LEGGINGS.png,https://www.calvinklein.com/hk/en/lace-fitsense-mesh-hem-leggings-4WT1L784.html?dwvar_4WT1L784_color=CK%20BLACK,"Calvin Klein Women's Premium Performance High Waist Moisture Wicking Legging"", '90 Degree By Reflex High Waist Squat Proof Interlink Leggings for Women'",90 Degree By Reflex High Waist Squat Proof Interlink Leggings for Women,HKD 231.70 - HKD 469.55,HKD 212.92 - HKD 354.73,image/recommendations/LACE FITSENSE MESH HEM LEGGINGS2.png,image/recommendations/LACE FITSENSE MESH HEM LEGGINGS43.png,https://www.amazon.com/Calvin-Klein-Performance-Firenze-Legging/dp/B07G41JKWM/ref=sr_1_2?dchild=1&keywords=CK+BLACK+LEGGINGS&qid=1625186601&s=fashion-womens-intl-ship&sr=1-2,https://www.amazon.com/90-Degree-Reflex-Interlink-Leggings/dp/B07JQ1CPW3/ref=sr_1_44?dchild=1&keywords=CK+BLACK+LEGGINGS&qid=1625186601&s=fashion-womens-intl-ship&sr=1-44
